datetime,open,high,low,close,volume
2025-05-17 18:45:00,103043.20,103043.20,102921.30,102950.30,323.221
2025-05-17 19:00:00,102950.30,103048.10,102875.00,103044.70,385.036
2025-05-17 19:15:00,103044.80,103064.60,103004.50,103012.40,302.550
2025-05-17 19:30:00,103012.30,103136.20,102966.00,103136.10,339.643
2025-05-17 19:45:00,103136.10,103154.90,103068.80,103100.10,317.298
2025-05-17 20:00:00,103100.10,103163.00,103030.00,103036.40,427.971
2025-05-17 20:15:00,103036.40,103138.40,103029.80,103123.00,371.273
2025-05-17 20:30:00,103123.00,103189.00,103123.00,103188.80,354.946
2025-05-17 20:45:00,103188.90,103397.90,103145.20,103326.30,963.573
2025-05-17 21:00:00,103326.30,103458.60,103248.80,103356.70,658.680
2025-05-17 21:15:00,103356.70,103379.20,103126.40,103172.60,1014.295
2025-05-17 21:30:00,103172.50,103276.40,103102.80,103195.10,459.572
2025-05-17 21:45:00,103195.10,103265.50,103081.30,103202.00,684.254
2025-05-17 22:00:00,103202.00,103205.90,102868.70,102954.90,1065.502
2025-05-17 22:15:00,102954.80,102988.00,102883.60,102885.10,663.660
2025-05-17 22:30:00,102885.10,103018.20,102851.50,102976.80,474.141
2025-05-17 22:45:00,102976.90,103065.00,102951.50,102981.20,327.744
2025-05-17 23:00:00,102981.30,103121.80,102902.20,103109.90,487.600
2025-05-17 23:15:00,103109.90,103163.20,103044.00,103119.50,325.228
2025-05-17 23:30:00,103119.60,103167.90,103066.00,103107.00,247.915
2025-05-17 23:45:00,103107.00,103160.00,103056.70,103079.60,250.995
2025-05-18 00:00:00,103079.50,103192.90,103060.30,103177.30,440.166
2025-05-18 00:15:00,103177.30,103278.00,103052.20,103220.20,455.835
2025-05-18 00:30:00,103220.20,103288.00,103129.20,103232.20,378.562
2025-05-18 00:45:00,103232.30,103380.80,103212.50,103329.60,640.745
2025-05-18 01:00:00,103329.70,103359.70,103200.00,103225.20,537.751
2025-05-18 01:15:00,103225.10,103287.50,103143.00,103182.70,374.912
2025-05-18 01:30:00,103182.70,103227.00,103130.10,103130.10,388.026
2025-05-18 01:45:00,103130.10,103257.00,103088.10,103208.70,302.553
2025-05-18 02:00:00,103208.80,103274.50,103193.40,103274.50,231.595
2025-05-18 02:15:00,103274.40,103282.50,103226.50,103249.60,196.850
2025-05-18 02:30:00,103249.60,103264.80,103200.30,103242.60,283.290
2025-05-18 02:45:00,103242.50,103317.00,103242.50,103292.70,292.343
2025-05-18 03:00:00,103292.80,103348.10,103153.50,103169.50,744.001
2025-05-18 03:15:00,103169.50,103169.60,103089.00,103089.00,553.967
2025-05-18 03:30:00,103089.10,103279.40,103089.00,103250.40,372.642
2025-05-18 03:45:00,103250.50,103263.90,103210.40,103244.20,246.636
2025-05-18 04:00:00,103244.30,103278.50,103244.30,103261.70,168.683
2025-05-18 04:15:00,103261.60,103270.70,103253.40,103253.50,161.196
2025-05-18 04:30:00,103253.40,103389.10,103250.10,103369.90,581.292
2025-05-18 04:45:00,103369.80,103399.00,103271.00,103314.70,436.598
2025-05-18 05:00:00,103314.70,103397.30,103314.60,103376.10,424.438
2025-05-18 05:15:00,103376.20,103441.50,103376.20,103400.00,769.493
2025-05-18 05:30:00,103399.90,103457.30,103363.90,103447.00,396.850
2025-05-18 05:45:00,103447.00,103636.30,103447.00,103597.80,1289.255
2025-05-18 06:00:00,103597.80,103636.40,103490.80,103553.80,1019.376
2025-05-18 06:15:00,103553.80,103578.60,103440.30,103460.10,626.320
2025-05-18 06:30:00,103460.10,103460.10,103300.20,103417.70,969.806
2025-05-18 06:45:00,103417.60,103431.90,103320.00,103414.40,458.045
2025-05-18 07:00:00,103414.40,103486.70,103383.80,103481.70,455.337
2025-05-18 07:15:00,103481.70,103556.70,103481.70,103556.60,508.200
2025-05-18 07:30:00,103556.70,103578.20,103492.80,103571.70,446.081
2025-05-18 07:45:00,103571.70,103949.60,103542.10,103893.00,4400.150
2025-05-18 08:00:00,103893.00,104066.10,103840.00,103864.40,4229.462
2025-05-18 08:15:00,103864.40,103970.00,103781.30,103930.00,1662.451
2025-05-18 08:30:00,103929.90,103953.30,103817.30,103834.20,800.204
2025-05-18 08:45:00,103834.20,103943.70,103816.60,103869.20,442.792
2025-05-18 09:00:00,103869.30,103969.20,103869.30,103969.10,662.496
2025-05-18 09:15:00,103969.10,103988.00,103852.00,103916.80,612.538
2025-05-18 09:30:00,103916.80,103958.90,103809.00,103815.50,509.530
2025-05-18 09:45:00,103815.40,103849.90,103800.10,103834.90,523.788
2025-05-18 10:00:00,103835.00,103893.20,103816.90,103893.20,569.832
2025-05-18 10:15:00,103893.20,103898.70,103764.00,103764.10,634.920
2025-05-18 10:30:00,103764.20,103812.90,103759.00,103800.30,380.890
2025-05-18 10:45:00,103800.20,103827.50,103786.30,103818.60,295.309
2025-05-18 11:00:00,103818.60,103867.70,103805.70,103812.80,304.335
2025-05-18 11:15:00,103812.90,103927.10,103810.10,103873.00,408.275
2025-05-18 11:30:00,103873.00,103955.80,103789.90,103790.00,418.831
2025-05-18 11:45:00,103789.90,103811.40,103754.40,103769.00,416.185
2025-05-18 12:00:00,103769.00,103785.90,103660.70,103711.10,1160.889
2025-05-18 12:15:00,103711.10,103845.70,103711.00,103824.80,482.992
2025-05-18 12:30:00,103824.80,103873.00,103812.20,103827.30,410.922
2025-05-18 12:45:00,103827.40,103907.90,103816.90,103906.50,483.479
2025-05-18 13:00:00,103906.50,103919.00,103862.50,103879.90,381.381
2025-05-18 13:15:00,103879.80,103890.30,103850.30,103864.80,297.133
2025-05-18 13:30:00,103864.70,104520.00,103864.70,104419.00,6444.113
2025-05-18 13:45:00,104418.90,104780.50,104238.00,104708.20,4210.807
2025-05-18 14:00:00,104708.10,104826.00,104508.90,104517.80,3664.293
2025-05-18 14:15:00,104517.90,104881.50,104517.80,104765.40,2360.638
2025-05-18 14:30:00,104765.40,105244.50,104765.40,105176.00,5463.536
2025-05-18 14:45:00,105176.10,105522.00,105161.60,105233.00,5946.440
2025-05-18 15:00:00,105233.00,105300.00,104925.10,105122.10,4341.309
2025-05-18 15:15:00,105122.10,105480.00,105054.00,105292.60,2291.221
2025-05-18 15:30:00,105292.70,105445.40,105213.20,105413.30,1374.252
2025-05-18 15:45:00,105413.30,105665.30,105337.70,105484.20,2515.719
2025-05-18 16:00:00,105484.20,105618.50,105358.70,105385.00,2016.981
2025-05-18 16:15:00,105385.00,105502.40,105138.80,105431.60,2326.586
2025-05-18 16:30:00,105431.50,105499.70,105315.60,105476.00,1159.546
2025-05-18 16:45:00,105476.10,105999.70,105381.70,105789.20,4736.023
2025-05-18 17:00:00,105789.20,105875.20,105570.00,105783.00,2254.797
2025-05-18 17:15:00,105782.90,105857.00,105380.10,105507.70,2087.271
2025-05-18 17:30:00,105507.70,105653.70,105214.30,105473.40,3046.641
2025-05-18 17:45:00,105473.40,105486.40,104796.70,104805.20,3878.050
2025-05-18 18:00:00,104804.20,104894.80,103884.70,104267.20,13742.912
2025-05-18 18:15:00,104267.30,104650.00,104012.80,104649.80,4242.956
2025-05-18 18:30:00,104649.80,104716.70,104456.30,104550.00,1578.601
2025-05-18 18:45:00,104550.00,104710.00,104311.60,104455.70,1723.654
2025-05-18 19:00:00,104455.70,104612.00,104402.20,104600.10,903.323
2025-05-18 19:15:00,104600.10,104700.00,104379.30,104495.80,965.475
2025-05-18 19:30:00,104495.80,104495.80,104092.40,104199.90,2102.183
2025-05-18 19:45:00,104200.00,104245.70,103800.00,103834.00,2822.472
2025-05-18 20:00:00,103834.10,103834.10,103217.20,103610.10,7467.455
2025-05-18 20:15:00,103610.10,103917.80,103597.20,103870.20,2086.537
2025-05-18 20:30:00,103870.30,104098.70,103823.90,104098.70,1693.912
2025-05-18 20:45:00,104098.70,104199.70,103960.80,104002.60,1837.360
2025-05-18 21:00:00,104002.50,104243.40,104002.50,104162.50,1660.136
2025-05-18 21:15:00,104162.50,104329.10,104123.50,104250.10,978.897
2025-05-18 21:30:00,104250.20,104550.00,104115.00,104419.50,1857.863
