datetime,open,high,low,close,volume
2025-02-01 00:00:00,102379.80,102538.70,102222.00,102476.00,1105.786
2025-02-01 00:15:00,102476.00,102520.00,102209.80,102222.80,1016.152
2025-02-01 00:30:00,102222.80,102458.30,102160.30,102401.80,535.303
2025-02-01 00:45:00,102401.90,102507.60,102300.80,102450.20,780.529
2025-02-01 01:00:00,102450.20,102562.10,102410.00,102550.80,731.578
2025-02-01 01:15:00,102550.80,102659.90,102495.80,102655.60,794.255
2025-02-01 01:30:00,102655.70,102727.70,102563.80,102726.70,749.025
2025-02-01 01:45:00,102726.60,102726.60,102467.40,102521.20,693.969
2025-02-01 02:00:00,102521.10,102648.00,102358.30,102631.90,719.664
2025-02-01 02:15:00,102631.90,102734.90,102624.00,102644.90,544.804
2025-02-01 02:30:00,102644.80,102660.00,102530.10,102619.90,451.626
2025-02-01 02:45:00,102619.90,102654.50,102333.00,102407.00,785.635
2025-02-01 03:00:00,102406.60,102465.10,102248.50,102373.50,752.427
2025-02-01 03:15:00,102373.50,102398.90,102280.50,102305.80,449.336
2025-02-01 03:30:00,102305.70,102324.50,102131.00,102219.40,828.567
2025-02-01 03:45:00,102219.40,102250.00,102163.20,102203.90,322.742
2025-02-01 04:00:00,102203.80,102284.20,102058.80,102167.90,800.440
2025-02-01 04:15:00,102167.90,102224.70,102119.50,102186.00,506.026
2025-02-01 04:30:00,102186.00,102444.00,102185.00,102444.00,1152.411
2025-02-01 04:45:00,102443.90,102444.00,102260.00,102271.10,400.229
2025-02-01 05:00:00,102271.00,102339.10,102190.10,102304.50,340.886
2025-02-01 05:15:00,102304.40,102443.20,102300.00,102433.50,302.688
2025-02-01 05:30:00,102433.50,102543.00,102385.40,102503.00,464.809
2025-02-01 05:45:00,102503.00,102510.50,102423.00,102445.00,465.756
2025-02-01 06:00:00,102445.00,102533.10,102366.90,102375.80,306.821
2025-02-01 06:15:00,102375.80,102375.80,102251.10,102316.20,392.426
2025-02-01 06:30:00,102316.20,102400.00,102200.00,102250.00,396.388
2025-02-01 06:45:00,102250.00,102366.80,102126.10,102366.80,454.180
2025-02-01 07:00:00,102366.70,102444.90,102318.00,102386.60,293.217
2025-02-01 07:15:00,102386.70,102398.20,102214.30,102260.80,338.670
2025-02-01 07:30:00,102260.80,102343.00,102140.10,102140.20,467.461
2025-02-01 07:45:00,102140.20,102229.00,102108.10,102127.00,603.528
2025-02-01 08:00:00,102127.00,102242.30,102120.00,102168.60,410.779
2025-02-01 08:15:00,102168.50,102168.60,101890.00,101964.00,1403.270
2025-02-01 08:30:00,101964.00,102008.20,101887.00,101973.70,827.977
2025-02-01 08:45:00,101973.70,102018.40,101780.10,101975.90,1293.139
2025-02-01 09:00:00,101975.90,101980.10,101750.10,101762.30,1186.429
2025-02-01 09:15:00,101762.30,101900.00,101762.30,101839.10,698.789
