datetime,open,high,low,close,volume
2025-05-03,96831.20,96868.40,95700.00,95803.30,71420.629
2025-05-04,95803.30,96266.60,94116.40,94230.20,94260.877
2025-05-05,94230.20,95165.10,93445.10,94696.70,154902.375
2025-05-06,94696.70,96879.50,93327.00,96798.90,173683.066
2025-05-07,96798.90,97700.00,95718.50,96988.40,185267.142
2025-05-08,96988.40,104305.30,96831.50,103228.10,317422.469
2025-05-09,103228.00,104373.00,102240.00,102941.90,172883.922
2025-05-10,102941.90,105000.10,102784.00,104788.80,104384.537
2025-05-11,104788.80,104950.00,103283.30,104072.70,139136.421
2025-05-12,104072.70,105863.10,100678.00,102739.30,256542.699
2025-05-13,102739.30,104949.20,101400.00,104082.00,162368.328
2025-05-14,104082.00,104319.00,102536.00,103458.10,126264.097
2025-05-15,103458.10,104162.80,101270.80,103714.50,176344.106
2025-05-16,103714.20,104524.20,103062.30,103412.20,115513.049
2025-05-17,103412.20,103658.00,102541.60,103079.60,90372.669
2025-05-18,103079.50,106629.80,103052.20,106407.60,173224.284
2025-05-19,106407.50,107114.30,102038.80,105531.60,257825.604
2025-05-20,105531.50,107292.50,104115.20,106800.10,226187.246
2025-05-21,106800.00,110830.00,106037.90,109609.50,413589.854
2025-05-22,109609.60,111959.50,109153.40,111662.70,246067.033
2025-05-23,111662.60,111770.40,106721.90,107271.50,279480.347
2025-05-24,107271.60,109440.20,106836.00,107698.90,165158.758
2025-05-25,107699.00,109285.10,106497.00,108955.90,159465.803
2025-05-26,108956.00,110400.00,108616.60,109386.80,146992.220
2025-05-27,109386.80,110700.00,107438.00,108889.30,223599.905
2025-05-28,108889.20,109252.60,106723.90,107723.10,158417.759
2025-05-29,107723.10,108860.00,105054.20,105539.90,213101.255
2025-05-30,105539.90,106266.00,103555.00,103950.00,219701.302
2025-05-31,103949.90,104859.30,103032.10,104544.70,103607.840
2025-06-01,104544.60,104700.00,103860.90,104152.10,22101.991
