,trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
0,1,BUY,93854.7,2025-01-01,12:30:00,SELL,96867.0,2025-01-02,22:30:00,0.10122029051288854,304.90588111197445,3.2095355906523624
1,2,BUY,97042.8,2025-01-03,02:45:00,SELL,96938.1,2025-01-03,03:00:00,0.10069073498905451,-10.542319953353713,-0.10789053901989337
2,3,BUY,96639.5,2025-01-03,11:45:00,SELL,96464.0,2025-01-03,14:00:00,0.10081540412655834,-17.69310342421099,-0.18160276077587323
3,4,BUY,96735.9,2025-01-03,14:15:00,SELL,98086.20000000001,2025-01-04,00:15:00,0.10034999810633198,135.50260244298184,1.3958623427290362
4,5,BUY,98204.0,2025-01-04,03:45:00,SELL,97907.7,2025-01-04,04:15:00,0.09997140625123986,-29.62152767224266,-0.30171887092175764
5,6,BUY,98087.3,2025-01-04,06:00:00,SELL,98026.1,2025-01-04,06:15:00,0.09961367313647126,-6.096356795951752,-0.06239339853375216
6,7,BUY,98197.6,2025-01-04,07:15:00,SELL,97870.0,2025-01-04,09:00:00,0.09925391078962117,-32.51558117468048,-0.3336130414592676
7,8,BUY,97945.3,2025-01-04,14:30:00,SELL,97601.29999999999,2025-01-04,15:45:00,0.09900534941822323,-34.05784019987023,-0.351216444280649
8,9,BUY,98028.9,2025-01-04,18:15:00,SELL,98125.00000000001,2025-01-05,01:45:00,0.09840324180619497,9.456551537577342,0.09803231496020089
9,10,BUY,98454.10000000002,2025-01-05,04:30:00,SELL,97907.6,2025-01-05,08:15:00,0.09788335876638554,-53.49325556583112,-0.5550809971347201
10,11,BUY,98031.3,2025-01-05,15:45:00,SELL,97666.0,2025-01-05,18:15:00,0.0976008668220481,-35.65359665009446,-0.3726360866376381
11,12,BUY,97989.6,2025-01-05,19:15:00,SELL,98077.09999999999,2025-01-06,01:30:00,0.09711146860461695,8.49725350290257,0.08929519050999846
12,13,BUY,98735.7,2025-01-06,02:00:00,SELL,99068.6,2025-01-06,09:30:00,0.09627620046127536,32.050347133559406,0.3371627486309498
13,14,BUY,99440.00000000001,2025-01-06,12:15:00,SELL,101770.0,2025-01-07,02:45:00,0.09571846992857279,223.0240349335732,2.3431214802896068
14,15,BUY,101822.00000000001,2025-01-07,07:15:00,SELL,101733.8,2025-01-07,07:30:00,0.09538056662725362,-8.41256597652488,-0.08662175168432326
15,16,BUY,101862.1,2025-01-07,09:00:00,SELL,101639.0,2025-01-07,09:45:00,0.09508348623842855,-21.213125779793963,-0.21902159880859107
16,17,BUY,94745.0,2025-01-08,22:30:00,SELL,94454.70000000001,2025-01-09,02:30:00,0.10181919353410433,-29.5581118829493,-0.30640139321334986
17,18,BUY,94195.1,2025-01-09,16:00:00,SELL,92716.7,2025-01-09,18:15:00,0.10192109929457725,-150.6801531971039,-1.5695083926871023
18,19,BUY,92661.6,2025-01-10,00:45:00,SELL,93517.3,2025-01-10,13:45:00,0.10186781194598996,87.16828668218331,0.9234677579493523
19,20,BUY,95759.2,2025-01-10,18:00:00,SELL,94460.0,2025-01-11,00:30:00,0.09924923099240368,-128.94460090533056,-1.3567364806723503
20,21,BUY,94353.8,2025-01-11,10:15:00,SELL,94345.1,2025-01-11,14:30:00,0.09923918735370202,-0.8633809299769187,-0.009220614326075993
21,22,BUY,94510.0,2025-01-11,14:45:00,SELL,94371.3,2025-01-11,16:15:00,0.09887825854019934,-13.714414459525361,-0.14675695693577093
22,23,BUY,94622.1,2025-01-11,16:45:00,SELL,94070.6,2025-01-11,17:15:00,0.09843591591798978,-54.28740762877136,-0.5828448110959279
23,24,BUY,94449.9,2025-01-11,20:45:00,SELL,94376.8,2025-01-12,01:15:00,0.09788252407384579,-7.1552125097972725,-0.07739552927000587
24,25,BUY,94550.1,2025-01-12,02:45:00,SELL,94451.3,2025-01-12,06:30:00,0.09752129525467912,-9.63510397116258,-0.10449486568496796
25,26,BUY,94396.1,2025-01-12,12:30:00,SELL,94625.0,2025-01-12,20:00:00,0.09739782723323319,22.29436265368651,0.24248883163604656
26,27,BUY,95228.7,2025-01-13,00:30:00,SELL,94272.7,2025-01-13,02:30:00,0.09658501010297142,-92.33526965844068,-1.0038990346397672
27,28,BUY,92616.5,2025-01-13,15:45:00,SELL,91322.90000000001,2025-01-13,17:00:00,0.09817513229955036,-126.99935114269748,-1.396727364994349
28,29,BUY,91998.7,2025-01-13,17:30:00,SELL,95415.2,2025-01-14,16:45:00,0.09733565643586602,332.54727021313624,3.7136394318615373
29,30,BUY,96590.0,2025-01-14,18:30:00,SELL,96816.8,2025-01-15,06:30:00,0.09579972989285865,21.72737873970062,0.23480691582979907
30,31,BUY,97061.9,2025-01-15,07:00:00,SELL,96777.09999999999,2025-01-15,10:00:00,0.09536567262965331,-27.16014356492554,-0.2934210024736822
31,32,BUY,98457.5,2025-01-15,13:45:00,SELL,99660.8,2025-01-16,03:15:00,0.09357356700207414,112.59707317359609,1.2221516898154055
32,33,BUY,99714.4,2025-01-16,07:15:00,SELL,99005.0,2025-01-16,08:45:00,0.09329009309983213,-66.17999204502037,-0.7114318493617714
33,34,BUY,99665.7,2025-01-16,16:30:00,SELL,104408.4,2025-01-17,23:15:00,0.09252824564719896,438.83371063097024,4.7586080266330315
34,35,BUY,103647.0,2025-01-18,11:45:00,SELL,104413.4,2025-01-19,09:00:00,0.09282310754248964,71.13962962056353,0.7394328827655351
35,36,BUY,105087.7,2025-01-19,11:15:00,SELL,104518.1,2025-01-19,11:45:00,0.09201924285706788,-52.41416073138506,-0.5420234718240016
36,37,BUY,105199.1,2025-01-19,13:15:00,SELL,104604.0,2025-01-19,17:15:00,0.09127420818531588,-54.31728129108201,-0.5656892501932106
37,38,BUY,105217.4,2025-01-19,18:15:00,SELL,103687.40000000001,2025-01-19,22:00:00,0.09059500620472828,-138.61035949323295,-1.4541321112287373
38,39,BUY,102449.3,2025-01-20,05:15:00,SELL,106503.7,2025-01-20,15:45:00,0.09158199928410655,371.3100578974811,3.957469694766088
39,40,BUY,102922.7,2025-01-21,04:00:00,SELL,102329.8,2025-01-21,04:45:00,0.09441140542793994,-55.97652227822504,-0.5760633951499468
40,41,BUY,102436.80000000002,2025-01-21,09:00:00,SELL,105985.5,2025-01-21,23:45:00,0.0941604892888091,334.1473283391952,3.4642823672742433
41,42,BUY,106115.40000000001,2025-01-22,00:00:00,SELL,105943.3,2025-01-22,00:15:00,0.09371279011439364,-16.12797117868769,-0.1621819264687367
42,43,BUY,105437.6,2025-01-22,12:45:00,SELL,104915.3,2025-01-22,13:15:00,0.09399013929722624,-49.091049754941544,-0.495364082642248
43,44,BUY,104600.0,2025-01-22,20:00:00,SELL,104155.9,2025-01-22,20:45:00,0.09411726836931311,-41.7974788828125,-0.4245697896749578
44,45,BUY,102265.2,2025-01-23,14:15:00,SELL,103218.8,2025-01-23,21:00:00,0.09569524636123238,91.25498693007175,0.9324775192343102
45,46,BUY,103938.0,2025-01-24,04:30:00,SELL,104974.4,2025-01-24,14:15:00,0.09480945463508188,98.2605187837983,0.997132906155587
46,47,BUY,105221.30000000002,2025-01-24,14:30:00,SELL,105164.0,2025-01-24,20:30:00,0.09436137574229926,-5.406906830035395,-0.05445665468875356
47,48,BUY,104860.0,2025-01-25,04:30:00,SELL,104609.3,2025-01-25,05:00:00,0.09445775191698909,-23.68055840558889,-0.23908067900056942
48,49,BUY,104626.90000000001,2025-01-25,12:00:00,SELL,104702.0,2025-01-26,00:00:00,0.09427361475563834,7.079948468147616,0.07177886375300355
49,50,BUY,105048.20000000001,2025-01-26,03:45:00,SELL,104821.10000000002,2025-01-26,09:30:00,0.09378099867382718,-21.297664798825334,-0.21618647439936262
50,51,BUY,104882.60000000002,2025-01-26,13:30:00,SELL,104703.20000000001,2025-01-26,21:15:00,0.09355788909133946,-16.784285302987115,-0.17104839124889037
51,52,BUY,100567.6,2025-01-27,13:00:00,SELL,99550.0,2025-01-27,17:15:00,0.09722825124362533,-98.9394684655137,-1.011856701363069
52,53,BUY,100905.2,2025-01-27,20:45:00,SELL,102633.49999999999,2025-01-28,12:30:00,0.09578856228605899,165.55137219899464,1.7127957726658174
53,54,BUY,102768.0,2025-01-28,13:30:00,SELL,102522.1,2025-01-28,13:45:00,0.09540223450483985,-23.459409464739565,-0.2392768176864337
54,55,BUY,103168.00000000001,2025-01-28,15:30:00,SELL,102233.5,2025-01-28,16:15:00,0.09463606915574752,-88.43740662604743,-0.9058041253101877
55,56,BUY,103002.3,2025-01-28,18:15:00,SELL,102161.0,2025-01-28,19:00:00,0.09379326977871115,-78.90827786482997,-0.8167778777755477
56,57,BUY,101675.0,2025-01-29,01:45:00,SELL,102189.9,2025-01-29,13:00:00,0.09410060347035003,48.45240072688268,0.5064175067617351
57,58,BUY,102551.30000000002,2025-01-29,17:45:00,SELL,101508.6,2025-01-29,19:30:00,0.09356764876630307,-97.5629873686253,-1.0167594169942376
58,59,BUY,103418.1,2025-01-29,19:45:00,SELL,104856.3,2025-01-30,12:45:00,0.09171180331227917,131.89991552371964,1.3906656571721943
59,60,BUY,105879.8,2025-01-30,15:00:00,SELL,105240.1,2025-01-30,18:00:00,0.09059158787709988,-57.95143876498053,-0.6041756784580222
60,61,BUY,105419.3,2025-01-30,19:15:00,SELL,104836.30000000002,2025-01-30,21:00:00,0.0902926400326529,-52.64060913903533,-0.5530296634487095
61,62,BUY,104630.0,2025-01-31,07:30:00,SELL,104254.8,2025-01-31,07:45:00,0.09032354058521262,-33.889392427571515,-0.3585969607187203
62,63,BUY,104700.0,2025-01-31,11:15:00,SELL,103967.0,2025-01-31,18:30:00,0.08978446298614798,-65.81201136884647,-0.7000955109837632
