trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
1,SELL,96867.0,2025-01-02,22:30:00,BUY,97042.8,2025-01-03,02:45:00,0.09807261502885399,-17.241165722072818,-0.18148595496918757
2,SELL,96938.10000000002,2025-01-03,03:00:00,BUY,96639.5,2025-01-03,11:45:00,0.09764544877608981,29.156931004542407,0.3080316201782584
3,SELL,96464.0,2025-01-03,14:00:00,BUY,96735.9,2025-01-03,14:15:00,0.09822614552841064,-26.70768896917428,-0.28186681041631506
4,SELL,98086.2,2025-01-04,00:15:00,BUY,98204.0,2025-01-04,03:45:00,0.0961591578327212,-11.327548792694838,-0.12009844402169002
5,SELL,97907.69999999998,2025-01-04,04:15:00,BUY,98087.3,2025-01-04,06:00:00,0.09604141331199259,-17.249037830835825,-0.18343807483989555
6,SELL,98026.1,2025-01-04,06:15:00,BUY,98197.6,2025-01-04,07:15:00,0.09557601498956028,-16.39128657070959,-0.17495340526655656
7,SELL,97870.0,2025-01-04,09:00:00,BUY,97945.3,2025-01-04,14:30:00,0.09538720913248781,-7.1826568476766095,-0.07693879636252468
8,SELL,97601.3,2025-01-04,15:45:00,BUY,98028.89999999998,2025-01-04,18:15:00,0.09539809687542551,-40.79222622392973,-0.4381089186311829
9,SELL,98125.0,2025-01-05,01:45:00,BUY,98454.10000000002,2025-01-05,04:30:00,0.09431343161951702,-31.038550345984973,-0.3353885350318679
10,SELL,97907.6,2025-01-05,08:15:00,BUY,98031.3,2025-01-05,15:45:00,0.09404159607939792,-11.632945435021249,-0.12634361377461717
11,SELL,97666.0,2025-01-05,18:15:00,BUY,97989.6,2025-01-05,19:15:00,0.09398193835883582,-30.41255525291982,-0.331333319681369
12,SELL,98077.1,2025-01-06,01:30:00,BUY,98735.7,2025-01-06,02:00:00,0.09311540296248828,-61.32580439109397,-0.6715125141342793
13,SELL,99068.6,2025-01-06,09:30:00,BUY,99440.0,2025-01-06,12:15:00,0.09141958071638495,-33.95323227806484,-0.3748917416820205
14,SELL,101770.0,2025-01-07,02:45:00,BUY,101822.00000000001,2025-01-07,07:15:00,0.0885064877519382,-4.602337363102074,-0.05109560774296409
15,SELL,101733.8,2025-01-07,07:30:00,BUY,101862.1,2025-01-07,09:00:00,0.08832691267944551,-11.332342896773115,-0.12611344508904898
16,SELL,101639.0,2025-01-07,09:45:00,BUY,94745.0,2025-01-08,22:30:00,0.08813529134305703,607.6046985190352,6.7828294257125705
17,SELL,94454.7,2025-01-09,02:30:00,BUY,94195.1,2025-01-09,16:00:00,0.10077588075425108,26.1614186438027,0.27484074376393264
18,SELL,92716.7,2025-01-09,18:15:00,BUY,92661.6,2025-01-10,00:45:00,0.10273821382047155,5.660875581507085,0.05942834462399035
19,SELL,93517.3,2025-01-10,13:45:00,BUY,95759.2,2025-01-10,18:00:00,0.10172270603919296,-228.0521346692661,-2.397310444163801
20,SELL,94460.0,2025-01-11,00:30:00,BUY,94353.8,2025-01-11,10:15:00,0.09822032879167976,10.430998917676105,0.11242854118144938
21,SELL,94345.1,2025-01-11,14:30:00,BUY,94510.0,2025-01-11,14:45:00,0.09825824150690682,-16.202784024488363,-0.17478385204954383
22,SELL,94371.3,2025-01-11,16:15:00,BUY,94622.1,2025-01-11,16:45:00,0.09788105318508575,-24.54856813881979,-0.26575876352238753
23,SELL,94070.60000000002,2025-01-11,17:15:00,BUY,94449.9,2025-01-11,20:45:00,0.09775930993593766,-37.08010625869859,-0.40320780350074703
24,SELL,94376.8,2025-01-12,01:15:00,BUY,94550.1,2025-01-12,02:45:00,0.09688326910950062,-16.78987053667674,-0.18362563680904936
25,SELL,94451.3,2025-01-12,06:30:00,BUY,94396.1,2025-01-12,12:30:00,0.09645387487703914,5.32425389321228,0.05844281656260643
26,SELL,94625.0,2025-01-12,20:00:00,BUY,95228.7,2025-01-13,00:30:00,0.09614729710252679,-58.04412326079514,-0.6379920739762189
27,SELL,94272.7,2025-01-13,02:30:00,BUY,92616.5,2025-01-13,15:45:00,0.09573783780313529,158.56100696955238,1.7568182517314104
28,SELL,91322.9,2025-01-13,17:00:00,BUY,91998.7,2025-01-13,17:30:00,0.1002935700570589,-67.77839464456069,-0.7400115414644114
29,SELL,95415.2,2025-01-14,16:45:00,BUY,96590.0,2025-01-14,18:30:00,0.09513424515831884,-111.76371121199324,-1.2312503668178687
30,SELL,96816.8,2025-01-15,06:30:00,BUY,97061.9,2025-01-15,07:00:00,0.09248100570638634,-22.667094498634484,-0.2531585427322441
31,SELL,96777.1,2025-01-15,10:00:00,BUY,98457.5,2025-01-15,13:45:00,0.09212042622890507,-154.79916423505153,-1.7363611846190823
32,SELL,99660.8,2025-01-16,03:15:00,BUY,99714.4,2025-01-16,07:15:00,0.08780787085128523,-4.7065018776281216,-0.05378243000255995
33,SELL,99005.0,2025-01-16,08:45:00,BUY,99665.7,2025-01-16,16:30:00,0.08817706826912496,-58.2585890054106,-0.6673400333316469
34,SELL,104408.39999999998,2025-01-17,23:15:00,BUY,103647.0,2025-01-18,11:45:00,0.08292352102792339,63.137968910659175,0.7292516694058905
35,SELL,104413.39999999998,2025-01-19,09:00:00,BUY,105087.7,2025-01-19,11:15:00,0.08333623687285403,-56.19362452336693,-0.6457983362288917
36,SELL,104518.1,2025-01-19,11:45:00,BUY,105199.1,2025-01-19,13:15:00,0.08258417828900042,-56.23982541480928,-0.6515617869058087
37,SELL,104604.00000000001,2025-01-19,17:15:00,BUY,105217.39999999998,2025-01-19,18:15:00,0.08184822717833315,-50.2057025511867,-0.5864020496347797
38,SELL,103687.4,2025-01-19,22:00:00,BUY,102449.3,2025-01-20,05:15:00,0.08195442941191848,101.46777905489556,1.1940698676984778
39,SELL,106503.7,2025-01-20,15:45:00,BUY,102922.7,2025-01-21,04:00:00,0.08054168042480798,288.4197576012374,3.362324501402299
40,SELL,102329.8,2025-01-21,04:45:00,BUY,102436.8,2025-01-21,09:00:00,0.08634788265694397,-9.239223444293005,-0.10456387093495736
41,SELL,105985.5,2025-01-21,23:45:00,BUY,106115.40000000001,2025-01-22,00:00:00,0.0831281532227496,-10.7983471036359,-0.1225639356327127
42,SELL,105943.3,2025-01-22,00:15:00,BUY,105437.6,2025-01-22,12:45:00,0.08290641114774042,41.92577211741209,0.47733079864417766
43,SELL,104915.3,2025-01-22,13:15:00,BUY,104599.99999999999,2025-01-22,20:00:00,0.0839397083308724,26.466190036725532,0.3005281403189215
44,SELL,104155.9,2025-01-22,20:45:00,BUY,102265.2,2025-01-23,14:15:00,0.08463270195415389,160.0150495847185,1.8152596252348614
45,SELL,103218.80000000002,2025-01-23,21:00:00,BUY,103938.0,2025-01-24,04:30:00,0.08671276015689398,-62.36381710483664,-0.6967722934193987
