,trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
0,1,BUY,190.43,2025-01-01,11:15:00,SELL,190.04,2025-01-01,14:45:00,49.88709762117313,-19.45596807225826,-0.20479966391850796
1,2,BUY,190.78999999999996,2025-01-01,15:00:00,SELL,189.61999999999998,2025-01-01,17:15:00,49.60417923000851,-58.03688969910934,-0.6132396876146484
2,3,BUY,191.79,2025-01-01,18:45:00,SELL,205.96,2025-01-02,15:45:00,48.959456927826004,693.7555046672952,7.388289274727574
3,4,BUY,208.18999999999997,2025-01-02,16:30:00,SELL,205.82000000000002,2025-01-02,17:45:00,48.181908955269556,-114.19112422398632,-1.138383207646836
4,5,BUY,207.66,2025-01-02,20:30:00,SELL,206.49,2025-01-02,21:15:00,47.691224380547695,-55.798732525240204,-0.5634209765963534
5,6,BUY,207.83,2025-01-02,23:30:00,SELL,206.51,2025-01-03,01:30:00,47.306871502753275,-62.44507038363535,-0.6351344849155663
6,7,BUY,207.96000000000004,2025-01-03,02:30:00,SELL,206.23,2025-01-03,03:30:00,46.90249670547813,-81.14131930047935,-0.831890748220834
7,8,BUY,207.94,2025-01-03,04:00:00,SELL,215.88,2025-01-03,21:00:00,46.44978475294984,368.8112909384216,3.818409156487447
8,9,BUY,216.87,2025-01-03,22:45:00,SELL,216.4,2025-01-04,02:30:00,46.06433549908731,-21.650237684570985,-0.21671969382579373
9,10,BUY,217.09000000000003,2025-01-04,02:45:00,SELL,216.15999999999997,2025-01-04,03:15:00,45.83557203914099,-42.62708199640404,-0.4283937537427166
10,11,BUY,217.15,2025-01-04,06:00:00,SELL,216.37,2025-01-04,08:15:00,45.54954297754491,-35.52864352248508,-0.35919871056873176
11,12,BUY,216.66,2025-01-04,12:45:00,SELL,215.80000000000004,2025-01-04,15:00:00,45.410189883917084,-39.05276330016673,-0.39693529031660524
12,13,BUY,215.53,2025-01-04,20:15:00,SELL,215.84000000000003,2025-01-05,02:30:00,45.387470673345916,14.070115908738627,0.14383148517609182
