trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
1,SELL,190.04,2025-01-01,14:45:00,BUY,190.79,2025-01-01,15:00:00,49.9921065094985,-37.49407988212387,-0.39465375710376766
2,SELL,189.62,2025-01-01,17:15:00,BUY,191.79,2025-01-01,18:45:00,49.8195984119301,-108.1085285538877,-1.144394051260409
3,SELL,205.96,2025-01-02,15:45:00,BUY,208.19,2025-01-02,16:30:00,45.27620208953291,-100.96593065965793,-1.0827345115556368
4,SELL,205.82,2025-01-02,17:45:00,BUY,207.66,2025-01-02,20:30:00,44.75662291377809,-82.35218616135184,-0.8939850354678862
5,SELL,206.49,2025-01-02,21:15:00,BUY,207.82999999999998,2025-01-02,23:30:00,44.147381864691994,-59.157491698686165,-0.6489418373771005
6,SELL,206.51,2025-01-03,01:30:00,BUY,207.95999999999998,2025-01-03,02:30:00,43.78682232354378,-63.49089236913798,-0.702145174567812
7,SELL,206.23,2025-01-03,03:30:00,BUY,207.94,2025-01-03,04:00:00,43.47230832241454,-74.33764723132921,-0.829171313581927
8,SELL,215.88,2025-01-03,21:00:00,BUY,216.87,2025-01-03,22:45:00,41.11878261029954,-40.70759478419692,-0.4585881045025056
9,SELL,216.4,2025-01-04,02:30:00,BUY,217.08999999999997,2025-01-04,02:45:00,40.76693616699802,-28.129185955227385,-0.3188539741219821
10,SELL,216.15999999999997,2025-01-04,03:15:00,BUY,217.15,2025-01-04,06:00:00,40.609021716867844,-40.20293149970069,-0.45799407846041706
11,SELL,216.37,2025-01-04,08:15:00,BUY,216.66,2025-01-04,12:45:00,40.31583338241582,-11.691591680900267,-0.13402967139621574
12,SELL,215.8,2025-01-04,15:00:00,BUY,215.53,2025-01-04,20:15:00,40.29399809913507,10.87937948676688,0.125115848007419
13,SELL,215.83999999999997,2025-01-05,02:30:00,BUY,216.95,2025-01-05,02:45:00,40.25978404584942,-44.68836029089341,-0.5142698295033421
14,SELL,216.26,2025-01-05,06:15:00,BUY,212.97,2025-01-05,20:45:00,39.90688253953109,131.29364355505697,1.521316933320999
15,SELL,212.77999999999997,2025-01-06,00:45:00,BUY,215.69,2025-01-06,02:15:00,41.06733685672953,-119.50595025308397,-1.36760973775732
16,SELL,214.56,2025-01-06,07:30:00,BUY,215.13000000000002,2025-01-06,08:00:00,40.12151212374717,-22.869261910536757,-0.26565995525728076
17,SELL,213.79,2025-01-06,08:45:00,BUY,215.35000000000002,2025-01-06,11:15:00,40.08778717685092,-62.53694799588866,-0.7296880116001827
18,SELL,218.21,2025-01-06,21:15:00,BUY,197.01,2025-01-08,14:00:00,38.926839018436624,825.2489871908571,9.71541175931443
19,SELL,194.62,2025-01-08,17:00:00,BUY,196.94,2025-01-08,22:15:00,47.59657952133479,-110.42406448949639,-1.1920665913061315
20,SELL,195.23,2025-01-09,03:15:00,BUY,192.39,2025-01-09,16:15:00,46.81744711295662,132.96154980079697,1.4546944629411482
21,SELL,187.21,2025-01-09,18:00:00,BUY,187.74000000000004,2025-01-10,01:45:00,49.41085382872319,-26.187752529224753,-0.28310453501417104
22,SELL,190.56,2025-01-10,13:30:00,BUY,190.96999999999997,2025-01-10,18:15:00,48.316714956828775,-19.80985313229826,-0.2151553316540555
23,SELL,187.36,2025-01-10,21:00:00,BUY,186.57,2025-01-11,12:00:00,48.94802134528714,38.66893686277784,0.42164816396243615
24,SELL,186.02000000000004,2025-01-11,17:30:00,BUY,187.2,2025-01-11,18:15:00,49.40197168377187,-58.294326586848335,-0.6343403935060477
25,SELL,187.73,2025-01-12,00:15:00,BUY,186.56,2025-01-12,12:00:00,48.56630942521892,56.822582027505526,0.6232354977893717
26,SELL,188.43,2025-01-12,21:15:00,BUY,190.38,2025-01-13,00:30:00,48.58072351305764,-94.73241085046185,-1.034867059385442
27,SELL,186.82,2025-01-13,02:15:00,BUY,178.57,2025-01-13,16:15:00,48.42149130534298,399.4773032690796,4.416015415908362
28,SELL,176.21,2025-01-13,17:00:00,BUY,177.629,2025-01-13,20:30:00,53.395088902566094,-75.76763115274036,-0.805289143635425
29,SELL,186.01,2025-01-14,13:00:00,BUY,187.97,2025-01-14,14:00:00,50.10405760858068,-98.20395291281854,-1.0537067899575334
30,SELL,186.51,2025-01-14,16:30:00,BUY,187.42,2025-01-14,21:30:00,49.37140067684089,-44.927974615925045,-0.48790949546941004
31,SELL,187.81,2025-01-15,09:45:00,BUY,194.35,2025-01-15,13:45:00,48.70901437032175,-318.55695398190386,-3.482242692082419
32,SELL,202.81,2025-01-16,03:15:00,BUY,202.92,2025-01-16,07:00:00,43.52707942173535,-4.7879787363902455,-0.05423795670824181
33,SELL,201.92000000000002,2025-01-16,08:30:00,BUY,204.53,2025-01-16,11:30:00,43.61547802429539,-113.83639764341032,-1.2925911251980908
34,SELL,209.65,2025-01-16,22:30:00,BUY,214.53,2025-01-17,01:45:00,41.40908874139477,-202.07635305800628,-2.3276890054853303
35,SELL,211.66000000000003,2025-01-17,04:15:00,BUY,212.48,2025-01-17,04:45:00,40.02813935526573,-32.823074271316486,-0.3874137768118514
